Bio,Grades
"A raw, converted tight end with a basketball background, Hageman is a big, athletic, finesse three-technique with intriguing dimensions and movement skills who fits best in an aggressive, one-gap scheme where he could fire into gaps. Will probably be restricted to nickel pass-rush duty initially until the game slows down for him, but has impact potential if he ever figures it out. Is still maturing, having endured a harrowing childhood to get to where he is today, and would be best served landing in a structured environment with veteran mentorship. Classic boom-or-bust prospect.",6.70
"A big, strong, powerful, NFL feature back who carried the Buckeyes' offense as a senior and proved he can be a workhorse. Solid all-around, chunk runner well-built for the physicality of the AFC North.",6.70
"A loose, explosive, long-limbed athlete, Lawrence consistently pressurizes the edge and harasses quarterbacks. His pass-rushing ability rates among the best in this year’s class, and he holds mass appeal. Lacks ideal stoutness at the point of attack, but could thrive as a 4-3 right end or 3-4 rush linebacker, and should contribute readily on passing downs.",6.70
"An extremely motivated, dynamic, playmaking receiver, Lee's junior season was plagued by shoulder, knee and leg injuries and a revolving door at head coach, where he cycled through three. Showed all the traits desired in a No. 1 receiver early in his career and has overcome a lot of adversity in his life to get to this point.",6.70
"An experienced, finesse left tackle with the length, agility and temperament to hold down a starting job for a long time. Is nuanced in pass protection and would fit best in a slide-lateral movement, bucket-stepping, zone-based blocking scheme. Similar in mold to Patriots 2011 17th overall selection Nate Solder.",6.70
"A big, physical, hammering run defender brings an enforcer mentality to the box and an intimidating, punishing presence to the back end. Is arguably the most violent hitter in this year's draft class and should make his presence felt readily in the pros.",6.70
"Smallish, quick-twitch, speedy, physical cornerback with an intriguing combination of urgent athleticism, ball skills, tackling ability and scheme versatility. Appeals to zone and man teams, should be able to contribute readily as nickel slot defender and special-teams contributor and has a ceiling as a No. 2.",6.70
"The Big Ten's leading tackler, Shazier flies around the field and his unique athletic ability stands out. Offers a tremendous combination of speed, tackling and coverage skills to become a playmaker as a run-and-hit 4-3 Will or perhaps a 3-4 weakside 'backer if protected by a block-occupying nose tackle. Value is increased by the fact that he will not have to come off the field.",6.70
"A long-limbed, sure-handed possession receiver with starter-caliber, positional traits. Lacks top-end speed and strength. As a 21-year-old, third-year sophomore entering the draft early, is still growing into his body and developing core strength. A poor man's Michael Crabtree, Adams possesses very intriguing upside to be groomed.",6.40
"Talented, competitive, productive, inconsistent college split end who projects as a flanker or slot receiver in the pros, where a creative offensive coordinator can take advantage of his run-after-catch skills. Could be a productive No. 3 option with added value as a kick returner.",6.40
"Big, strong, athletic, instinctive press-man corner who elevated his game as a senior. Is deceptively fast and has the desirable size to match up with big receivers.",6.40
"Big, thickly built, relatively polished blocker who brings a steadying presence to the interior offensive line. Dependability and effectiveness blocking for pass and run combined with sterling intangibles, including football intelligence, make him capable of starting as a rookie and holding down a position for years to come.",6.40
"A very unique, run-around, ad-lib, sandlot-style quarterback who consistently won games playing a brand of fast-paced, jailbreak football that often goes off script and can be difficult both to game plan with and against. Is most comfortable on the move outside the pocket where he can find open throwing lanes and see the field and will command mush rush and extra spy defenders. Has defied the odds and proven to be a great college-system quarterback, but still must prove he is willing to work to be great, adjust his hard-partying, Hollywood lifestyle and be able to inspire his teammates by more than his playmaking ability. Overall character, leadership ability and work habits will define his NFL career. Rare competitiveness and third-down efficiency could carry him a long way, yet he will be challenged to avoid a Ryan Leaf-like, crash-and-burn scenario if he does not settle down and mature. A high-risk, high-reward pick, Manziel stands to benefit from entering the NFL at a time when moving pockets are trending.",6.40
"Athletic, smart, competitive, dependable college left tackle whose length dictates a move inside, where he has plug-and-play ability in a zone-blocking scheme. One of the cleanest prospects in this year’s draft.",6.40
"Despite standing to benefit from a more dominant senior season in South Bend, Nix, who already graduated, opted to forgo his final year of eligibility in order to provide for 13 siblings. He does not enter the NFL with momentum, having coped with knee tendinitis before season-ending surgery to repair a torn left meniscus, and too often his gregarious personality and media hype overshadowed his performance. However, if the massive interior defender taps into his power more consistently, Nix has ample mass, strength and athleticism to anchor a ""30"" front as a space-eating, block-occupying run stuffer.",6.40
"Athletic, tough, instinctive, strong-armed, highly competitive quarterback who will impress in workouts, interviews and on the board. Elevated the Fresno State program and profiles like a gunslinger, though he’d be better served in the long run honing his game-management skills. Will be a starter sooner rather than later and the degree to which he’s able to make those around him better will determine his ceiling.",6.30
"Short, speedy, nifty-footed receiver who was unaffected by the departure of Steelers 2013 third-rounder Markus Wheaton, establishing himself as a playmaker in his own right by leading the nation with 133 yards per contest as a junior. Projects as a useful slot receiver with run-after-catch ability and some utility as an outside receiver.",6.30
"Big, thickly built, athletic slasher with an overinflated sense of his abilities and character red flags, which could cause some teams to shy away. Fits best in a downhill scheme and has potential to be a 20-carry back in the NFL, but must run to his size more consistently and prove his unstable behavior is a thing of the past.",6.30
"Big, physically gifted “X” receiver with deep speed, “above-the-rim” potential and playmaking ability. Has a ceiling as a No. 1 or No. 2 in a vertical passing offense, and his best football is in front him. Likely to elevate his stock at the combine and in workouts.",6.30
"Highly productive, hard-charging slasher who runs more competitively than he does powerfully and picks up yardage in chunks. Has some first-round traits and is one of the most instinctive runners in this year's draft class, though his stock could be affected by off-the-field troubles.",6.20
"Big, athletic, ascending, pass-rush talent with the size, burst and flexibility to pressurize the edge as a right defensive end. Is not a finished product, particularly as a run defender, but should only become more disruptive as his strength, technique and savvy catch up with his natural physical ability. Could also draw looks as a 3-4 rush linebacker.",6.20
"Fast, rangy, tough, loquacious defensive back who was miscast as a safety in his senior season, but projects best as a cornerback in the pros where his explosiveness and physicality will appeal to a wide range of teams. Should contribute readily on special teams and has eventual starter potential. Played his best football early in the season and tapered off late in the year.",6.20
"Big, strong, heavy pass protector with good balance, anchor strength and hand use to handle power and speed. Does not affect the run game the same way and almost appears more destined for the left side in the pros. Has instant-starter potential.",6.20
"Big, strong-bodied interior force who shed weight and improved his stamina as a senior, displaying NFL-caliber physicality in the trenches. Has been inconsistent in the past, but if the light has come on, Jones' combination of size, power and movement enables him to play as a 4-3 one-technique or 3-4 five-technique.",6.20
"Massive, long-limbed, inconsistent, overhyped college left tackle whose sheer dimensions, raw tools and high ceiling are far more appealing than his snap-to-snap performance at this stage of his development. Has enough length and anchor strength to survive on the left side, though he will never be a dancing bear, and he projects more ideally as a bulldozing right tackle in a power scheme.",6.20
"The SEC Player of the Year, Mason is a compactly built, nifty-footed runner with a balanced skill set to merit 20 touches per game at the next level. Fits in multiple schemes and has the chops to make an impact as a rookie.",6.20
NA,NA
"An efficient game-managing quarterback who has shown he can carry an offense at times throughout his career, but more often is dependent on a terrific supporting cast. Grades out most highly for his intangibles and decision-making, knowing when and where to go with the ball, and could earn an NFL starting job.",6.20
"A big-bodied, short-area plugger with some underachiever traits, McCullers has raw tools that could become special if he learns to harness the innate strength in his body and pairs with a DL coach who can refine his mechanics.",6.20
"As a base end in an even front or a LOLB in an odd front, Murphy's instincts, motor and toughness are what define his success and could allow him to eventually become a double-digit sack producer in the pros. Will require a few years to adapt to the speed of the NFL game.",6.20
"A converted DE/OLB who emerged from the shadow of Bengals 2013 first-rounder Tyler Eifert, Niklas is the latest in a line of NFL tight ends produced by Notre Dame. He boasts an intriguing combination of size, athleticism, receiving ability and blocking ability to develop into a bona fide, balanced, No. 1 tight end. Has played tight end for just two years and arrow is pointing up.",6.20
"Good functional football player who capped his college career with a game-changing MVP performance in the Hawaii Bowl, where he returned two fumble recoveries for touchdowns. Has starter-quality physical traits and the positional skill to contribute readily in the pros. An underrated clingy cover man with a natural feel for the game.",6.20
"The Big Ten's leading receiver the last two seasons, Robinson is a big, fluid, outside receiver with a nice combination of ""above-the-rim"" prowess and run-after-catch ability. Offers possession skills, playmaking ability and red-zone utility to develop into a solid No. 2 option.",6.20
NA,NA
"Long-framed, long-armed, prototype five-technique capable of kicking inside and manning the nose. Very impressive strength and power. Can play anywhere along a ""30"" front. An underrated cog in a defense, Stinson could play a long time in the league and may never receive his due outside the building.",6.20
"Does not look the part and was miscast when forced to play left tackle for the Bruins, but Su’a-Filo is more effective than he is pretty. Projects best at left guard, where he has starter-caliber ability in a power scheme, though he is athletic enough to appeal to zone teams, too.",6.20
"A tough, scrappy, undersized nickel back with potential to emerge as a No. 2 corner, Verrett's body is not ideally built to withstand the rigors of a starting job. An outstanding football player in the mold of feisty Titans 2006 seventh-round pick Cortland Finnegan.",6.20
"Georgia Tech’s all-time sack leader, Attaochu is a Nigerian-born, young, heady, disruptive, relentless edge rusher who profiles as 3-4 right outside linebacker. Should interview well, and has the look of a trustworthy, long-term starter given his pass-rush ability, motor and makeup.",6.10
"An undersized college left tackle who projects best to the inside in the pros. Displays the tenacity, leg drive and mean streak that is highly coveted by OL coaches and could drive up his draft status. Could require some initial patience moving inside, yet possesses the skill set, intelligence and desire to successfully convert.",6.10
"Short, active, athletic, instinctive tackling machine who will have to overcome physical limitations to establish himself as a dependable, long-term starter, though he has immediate special-teams ability and the makeup to push for a more prominent role.",6.10
"Very lean, rangy, athletic cover man who shows up well in run support and has good length to match up with big receivers. Will require technique refinement, but has an aggressive playing temperament that will appeal to coaches and moldable tools to develop.",6.10
"Athletic, raw, developmental three-technique with clear upside, though he is inexperienced, aimless and unrefined at this stage of his development. Needs more glass in his diet and simply does not impact games the way he should. Is likely to test well and be drafted higher than his performance dictates in the hopes a defensive line coach can tap into his potential.",6.10
"Big-framed, linear and dependable, Fiedorowicz looks the part and has balanced skills to be a legitimate “Y” tight end in the pros. Is an asset as a competitive blocker and as a sure-handed receiver. Will be in demand in a relatively thin tight ends class.",6.10
"Compactly built, downhill slasher with the agility and balanced skill set to emerge as a workhorse back. Earned the top assignment in a very talented backfield and has a similar build, running style and all-around utility as San Francisco 49ers 2005 third-round pick Frank Gore. Could prove to be a better pro than college player.",6.10
"Massive, strong-bodied, long-armed specimen with the physical gifts to be a dominant NFL right tackle in a power or slide-protection blocking scheme. However, he failed to live up to expectations in Coral Cables thanks to a tumultuous career marred by tragedy, suspensions, injuries and benchings. High-risk, high-reward, high-maintenance wild card who must convince decision-makers he’s worth gambling on. Interview process will go a long way in determining his trustworthiness.",6.10
"Slightly undersized, stoutly built, country-strong run stopper with the ability to drop anchor inside an odd front and develop into a solid, 3-4 movement nose tackle. Strength is his calling card despite his relatively modest size.",6.10
"Big, athletic, overhyped defensive tackle who shows in flashes, but leaves evaluators wanting more and would have benefited from a more dominant junior season. Fits best in an even front, though he’s not instant coffee, as his tweener skill set is too unrefined to project absolutely as a nose or three-technique. Will test well but draw varied opinions, and has the look of a boom-or-bust prospect.",6.10
"Polished, quarterback-friendly, sure-handed possession receiver with a flare for the highlight-reel catch. Could be an effective No. 3 option, capable of lining up as a ""Z"" or slot, working short-to-intermediate and beating zone coverage.",6.10
"A big, hard-hitting, vocal secondary leader who showed better as a junior lining up along a more talented secondary next to Eric Reid than he did as a senior. However, still possesses starter-caliber traits as an interchangeable safety most ideally suited playing in the box.",6.10
"Outstanding-sized, barrel-chested finesse pivot with center-guard versatility. Grades out highly as a position-sustain blocker and possesses untappped strength and power in his body. Lacks desirable grit, toughness and finishing strength to maximize his talent and is stronger than he plays. Has instant-starter potential as a center or right guard, but could stand to benefit from some time to be groomed.",6.10
"A relative of Jerry Rice, Matthews departs Vanderbilt as the most productive pass catcher in SEC history. He’s a tall, narrow-framed, West Coast possession receiver with soft hands, a professional approach and the versatility to line up inside or outside and become a solid No. 2 or No. 3. High-floor prospect whose timed speed could dictate his ultimate draft value.",6.10
"Thickly built, physical, highly competitive lineman who manned left tackle competently in college, but is better suited for the right side in the pros. Has starter-caliber strength, athleticism and technique supplemented with desirable intangibles. Versatility to play guard or left tackle in a pinch adds to value.",6.10
"An intriguing height-weight-speed prospect, Seferian-Jenkins has all the tools to be a legitimate No. 1 tight end in the NFL, though he has to maintain focus and consistency and continue improving as a blocker.",6.10
"Bulked up and added a lot of bad weight as a senior, negating his initial burst and diminishing his production, yet still showed good quickness off the ball. Played at a more natural weight and was noticeably a step quicker in 2012. Fits best as an under tackle in an even front and would be best playing close to 290 pounds.",6.10
"Experienced, dependable pivot who lacks starter-caliber power and athleticism. Lack of versatility hurts his chances, and he will have to survive on smarts, leadership and competitiveness.",6.10
"Underpowered, quick-footed, scrappy,  zone blocker with the smarts, movement skill and competitive zeal to emerge as a very efficient pro. Displays the quickness highly desired at the pivot and might prove to be best at center.",6.10
"Good-sized, athletic, smooth-moving stand-up player who projects best as a 3-4 right outside linebacker, but could also warrant consideration from 4-3 teams as a Will or Sam. Is not without flaws, but has unique ability to play up the field, laterally or in reverse.",6.10
"Very strong, stocky, powerful runner with the instincts, contact balance and toughness to carry a heavy workload. Really emerged as a senior, when he led the nation in rushing, and proved worthy of a starting role.",6.10
"Highly productive, finesse, detached tight end who racked up 106 receptions for 1,352 yards (12.8) and seven TDs as a junior when he was essentially an inside receiver for the Red Raiders. Will have to play a similar role in the pros, as he is not equipped to survive in-line.",5.90
Explosive playmaker lacking requisite size for the pro game. Was slowed by an ankle injury early and did not return to junior form until late in senior season. Can make an immediate impact in the return game and add value as a multipurpose threat. Long-term durability is greatest concern given tiny frame.,5.90
"Undersized, athletic, run-around see-and-go reactor who needs to be protected to be effective. Projects as a Will linebacker, nickel defender and special-teams contributor.",5.90
"Difficult to prepare for and difficult to block, Boyd is a short, athletic, strong-armed quarterback with Wildcat value and starter potential in a vertical-power system, though he is the type you look to replace. The success of Russell Wilson likely helps Boyd’s cause, but he is not as polished and might be better suited as a backup.",5.90
"Aggressive, high-collision 'Mike' linebacker best paired with a demanding position coach who will extract the most from him.",5.90
"Smoother-than-explosive, height-weight-speed prospect who will draw the attention of Cover-2 teams given his physicality, ball skills and tackling. Special-teams ability adds to value.",5.90
"Good-sized, smart, ballhawking zone corner who plays fast and could bring immediate value as a nickel back and contribute on special teams.",5.90
"A very big, strong, two-gapping plugger ideally suited to stack the corner of an odd front. Will make a living digging his feet in the dirt and defending the run.",5.90
"Big, tall, talented, West Coast receiver whose sheer size enables him to be effective outside the numbers, on slant routes and in the red zone, though inconsistency has prevented him from reaching his potential. Has the look of a No. 2 receiver, but his production fell off as a junior (played through a knee injury). He could have used another season to polish his skills.",5.90
"Strong, athletic, raw defensive end prospect who would have been better served returning for his senior season. Despite being rough around the edges at this stage of his development, Crichton shows in flashes and has power potential as a 4-3 defensive end. Could require patience.",5.90
"Short, scrappy, instinctive, highly productive defensive lineman who does not look the part, but inspires confidence he can be an exception to the rule. Is the type you root for and has the quickness, athleticism and motor to earn a spot as a rotational three-technique in a fast-flowing 4-3 scheme.",5.90
"Small-school college left tackle best suited to kick inside in the pros. Has the girth and enough athletic ability to compete as a guard or center and ornery football disposition desired in the trenches. A tough, gritty, road grader capable of paving the way in the run game, Dozier will require some technique refinement in pass protection, yet possesses clear starter potential with continued development. Draft status could ascend if he proves he can play center.",5.90
"Tough, gritty, smart battler who transformed from an impactful 250-pound three-technique as a freshman. Made a successful conversion to left tackle as a sophomore and has grown to be a dominating Canadian 315-pound left tackle expected to be the first pick of the CFL draft. Projects best inside in the pros and could prove to be the best product delivered from Canada's developmental system since Israel Idonije. Will require refinement, but has the physical tools and temperament that cannot be taught.",5.90
"A two-sport athlete who has already graduated, Ellington opted to forgo basketball and his senior football season to enter the draft. While he lacks desirable height and might not be an elite tester, Ellington brings explosiveness, hands and playmaking ability to the slot. Arrow is pointing up, and his desirable intangibles inspire confidence he'll reach his potential, especially now that he's able to focus solely on football.",5.90
"A big, strong cornerback who must prove that he can recover from offseason knee surgery and return to being the player he was as a junior, when he graded out highly in press coverage, as a tackler and for his ability to make plays on the ball. Has a unique combination of size and speed.",5.90
"High-motor college left defensive end better suited for a rush linebacker role in the pros. Has added more than 50 pounds to his frame since arriving on campus and has demonstrated the desire, work habits and competitiveness to develop into a Trent Cole-like edge rusher if he can stay healthy.",5.90
"Narrow-framed, confident, competitive off-man/zone corner who should contribute readily on special teams while pushing for a role in sub packages.",5.90
"A decorated, FCS passer, Garoppolo could excite quarterback coaches with his quick delivery, mental make-up and work habits, yet he still needs to prove he can fit the ball into tight windows and do more than carve up soft shells the way he regularly did on his way to a record-breaking performance in college. Possesses the physical tools to eventually earn an NFL starting job in a rhythm passing game with continued refinement, but is more of a caretaker than a game changer and will require some patience adapting to the NFL game.",5.90
"A long-bodied, athletic rush linebacker with the base strength desired in a 4-3 left defensive end, Hubbard's greatest physical trait is his core functional strength and ability to leverage the edge and defend the run. Is still developing as a pass rusher and offers the scheme versatility and upside to interest any defense. Has starter traits, but has yet to reach the impact level he thinks he makes. Has upside if the light bulb comes on.",5.90
"A wide-bodied, overachieving, college left tackle more ideally suited for the right side in the pros. Is football smart, gritty and competitive enough to eventually enter a starting lineup, but would be an ideal backup swing tackle on a strong offensive line and might even benefit from kicking inside where he'd have help on each side.",5.90
"Athletic, smooth-moving, polished receiver who runs crisp routes, has terrific hands and boasts NFL bloodlines. Balanced skill set, dependability and versatility will be valued at the next level, where he could be a productive No. 2 or No. 3 receiver in a sophisticated passing system. Arrow pointing up.",5.90
"Very active, high-motor, steady, consistent producer. Lacks ideal bulk for the inside and speed to work the edges, but can set the edge and bring value to an odd front in a LOLB role or as a Sam linebacker. Is most natural moving forward piercing gaps. Will need to be managed, needs to cut down on errors and must learn to play within the structure of the defense.",5.90
"Big, athletic, press-man corner who can excite scouts when they get an up-close look at his movement skills. However, he has a junior-college background, does not play to his size and will need to be managed closely to maximize his talent. Appears destined for Pete Carroll's defense.",5.90
"Powell is a physically gifted, inconsistent, college “Buck” (hybrid defensive end/outside linebacker) with crude strength and athleticism. Has developmental value as a stand-up rush linebacker, but must dedicate himself to the craft and realize he’s no longer the big man on campus.",5.90
"Thickly built, long-armed, talented defensive tackle who was not as consistently dominant as his numbers or accolades suggest. Has quickness, strength and enough pass-rush ability to develop into a rotational three-technique in the pros, but could have benefited from another year of SEC competition.",5.90
"A country-strong, throwback, wrangler cowboy with the toughness desired to set the edge and the motor, intensity and competitiveness to produce effort sacks. Can factor as a 3-4 rush linebacker in an odd front or match up with tight ends as a strong-side linebacker in an even front. Could contribute readily as a situational rusher and, with continued strength gains, emerge as a DE prospect. Versatility is a plus.",5.90
"Massive road grader with grown-man strength which enables him to reestablish the line of scrimmage in the run game and thwart the rush. Versatility to play right tackle adds to value and he has plug-and-play capability in a power scheme, though bust factor cannot be ignored.",5.90
"Lean, athletic, finesse cornerback who did not elevate his game in 2013 when injuries, suspension and inconsistency marred his junior season. Is best deployed in off-man or zone and could develop into a No. 2 or No. 3 corner if he regains his sophomore form, though he lacks desirable instincts and tackling ability.",5.90
"Athletic, competitive, tough, upright slasher who is an asset as a receiver -- hands rate among the best on a RB in recent years. Cannot project as a bellcow, but offers playmaking ability as part of a tandem in a zone scheme. Speed and durability could determine ultimate draft value.",5.90
"Productive college middle linebacker at his best when he’s kept clean or has a clear path. Projects best in a 4-3, where he has enough athleticism and functionality in coverage to play in the middle or on the weak side. Has starter-caliber potential, but might be the type you look to replace.",5.90
"A high school quarterback turned pass rusher who broke out with 14.5 sacks as a senior (1.12 sacks-per-game average led nation), Smith projects as a pass-rushing, 3-4 right outside linebacker in the pros. Should contribute initially on passing downs and has eventual starter potential as his game becomes more well-rounded.",5.90
"Big, athletic, raw interior defender with underachiever traits who had a fairly nondescript career at UConn, but has crude physical tools for a defensive line coach to mold. Developmental prospect who potentially fits in a 4-3 or as a 3-4 five-technique.",5.90
"Strong-bodied, dependable gap blocker who played left tackle in college but will likely slide inside in the pros. Showed improvement as a senior and has the potential to be a long-term fixture at left guard. Ability to play tackle in a pinch adds to value.",5.90
"A deluxe, specialty back and potential slot receiver with game-breaking return ability, Thomas can be an explosive mismatch weapon in multiple facets of the game.  Diminutive stature will decrease the odds he'll be able to stay healthy in the pros, and his commitment to the game will dictate his future success. Rare speed creates a higher commodity on Draft Day.",5.90
"Unrefined, strong-armed, sturdy pocket passer who looks the part and has intriguing, raw arm talent, though he is a converted tight end whose inexperience showed throughout a yo-yo career in Blacksburg. Has definite developmental value given his starter-caliber skill set and intangible makeup. Would benefit from coaching continuity, more specifically a QB coach capable of refining his crude talent.",5.90
"A very smart, pedigreed, rangy free safety with the athletic ability and cover skill desired on the back end. Lack of size and tackling strength could leave much to be desired when defending the run. Top-notch intangibles -- toughness, instincts, competitiveness and leadership ability -- should allow him to quickly emerge as a defensive leader and enhance his draft status.",5.90
"Good-sized, physical, competitive, bump-and-steer technician with starter-caliber ability in multiple schemes. Has a desirable temperament for the position and is a projectable, low-risk prospect.",5.90
"Good-sized, compactly built, highly productive, physical workhorse and program-changer who took Towson to new heights while dominating inferior competition. Has the chops to factor prominently in a power-running scheme, showing the ability to slash and cut, run over defenders and contribute as a receiver.",5.90
"Big, physical, smart, serviceable offensive guard who will not score many style points, but generally gets the job done. Has starter-caliber ability and fits best in a power scheme that takes advantage of his size and pulling ability.",5.90
"A former walk-on, Abbrederis went from afterthought to scholarship player to No. 1 receiver. While the blue-collar overachiever lacks exceptional athletic traits for the NFL, he's a steady ""X"" receiver whose hands and smarts could enable him to work his way into a No. 3 or No. 4 receiver role.",5.80
"Classic tweener whose best shot in the pros could come as a nickel safety/linebacker, where he could maximize his ball skills and be deployed to blitz. Could make his biggest mark on special teams.",5.80
"A big, well-built inside runner with soft hands, Baker must learn how to protect the ball better to earn his way in the big leagues. However, he possesses the physical traits to earn a role with continued focus and development.",5.80
NA,NA
"A long-limbed, rangy back-half defender with intriguing straight-line speed, range and leaping ability to compete for a job as a backup safety and special teams performer. Has intriguing physical tools to be molded if he bows up.",5.80
NA,NA
"A tough, productive, stand-up rush linebacker who might not look pretty, but consistently gets the job done. Came through in clutch situations and displayed a knack for making timely and game-changing big plays.",5.80
"Smooth, productive nickel corner more proficent vs. the pass than run. Benwikere's game lacks physicality, yet his zone cover skills could allow him to carve a role in the slot and on special teams. Needs to be challenged to maximize his potential and would benefit from a demanding positional coach.",5.80
"Compactly built, highly competitive, active, energetic safety with a mixture of strong and free safety traits. Profiles like a solid backup and core special-teamer with makeup to push for a more prominent role.",5.80
"Blue looks the part and would have been the No. 1 back at most schools given his combination of size, speed, power and competitiveness. Is a second-round talent on physical ability alone, but injury and a stacked stable of LSU runners limited Blue’s opportunity to shine. Scheme-versatile runner who is a prime candidate to elevate his stock prior to the draft and be a far more productive pro than college player.",5.80
"A top-heavy, barrel-chested, thick-bodied, short-area blocker, Bodine plays with a gritty football demeanor. Swing-interior versatility adds to his value.",5.80
"Big, slender, West Coast, short-to-intermediate possession receiver who could compete for a job as a No. 4 or No. 5. Having sat the year out, Boyd’s performance at the combine and in workouts will determine draft standing.",5.80
"An undersized college defensive end, Bradford projects to outside linebacker in a 3-4 front in the pros, where his physical dimensions and rush ability are best suited. Would profile best in an aggressive, one-gapping odd front such as the Colts, Jets, Ravens or Steelers.",5.80
"Well-built, inconsistent interior defender with enough strength, athleticism and pass-rush ability to contribute in a rotational role. Best fits as a 4-3 defensive tackle, but could appeal to teams running a hybrid scheme given his potential to be used as a five-technique.",5.80
"Lean, athletic, long-limbed hybrid safety with an appealing combination of fluidity, range and physicality. Versatile defender who can be deployed over the top as a “robber” or in the box. Has starter-caliber ability if he if he’s able to shore up his tackling and become a more productive on-the-ball defender, but at worst should be a solid backup and core special-teams player.",5.80
"Undersized, athletic, finesse, inconsistent Will linebacker who needs to be kept clean to be effective. Small frame, deficient instincts and soft run defense likely relegate him to a backup role, and he will have to excel on special teams.",5.80
"A lean, long-limbed, rangy, outside-the-numbers, big-play receiver, Bryant declared for the draft early with underclassmen nipping at his playing time late in the season. Will require additional seasoning to make a mark in the pro game. A better tester than football player at this stage of his development.",5.80
"Although he's built like a cornerback, Bucannon's style of play makes it easy to identify him as a tone-setting strong safety. Has coverage limitations, but brings the aggressiveness and physicality to carve a niche as a downhill box defender and core special-teams player.",5.80
"Big, tough, experienced, durable, competitive Mike linebacker who was a heart-and-soul type for the stingiest defense in college football. Like a coach on the field, Bullough is a throwback talent whose instincts and technique will have to compensate for athletic limitations for him to win a starting role.",5.80
